"comname","est_year","dist_km"
"acadian redfish",1970,66.4823571005981
"acadian redfish",1971,45.2138175951015
"acadian redfish",1972,85.967542651811
"acadian redfish",1973,38.9460418766973
"acadian redfish",1974,63.2456850318613
"acadian redfish",1975,135.907164226363
"acadian redfish",1976,98.112234603385
"acadian redfish",1977,38.4634586145863
"acadian redfish",1978,12.4314638661122
"acadian redfish",1979,54.2714766502493
"acadian redfish",1980,76.3698545488034
"acadian redfish",1981,70.2776634959859
"acadian redfish",1982,28.7838841470175
"acadian redfish",1983,101.813619098128
"acadian redfish",1984,71.8976478978558
"acadian redfish",1985,49.2448931948918
"acadian redfish",1986,84.6462978814395
"acadian redfish",1987,46.610292875387
"acadian redfish",1988,33.6563594813819
"acadian redfish",1989,30.7574035394432
"acadian redfish",1990,125.649426260987
"acadian redfish",1991,58.2009460883873
"acadian redfish",1992,31.0600296819344
"acadian redfish",1993,13.1098979405111
"acadian redfish",1994,145.434376381739
"acadian redfish",1995,141.968393697628
"acadian redfish",1996,101.13363376501
"acadian redfish",1997,94.0761200522154
"acadian redfish",1998,28.3637771156964
"acadian redfish",1999,82.7797746960249
"acadian redfish",2000,40.9197148544962
"acadian redfish",2001,25.4020185420596
"acadian redfish",2002,64.4725397282258
"acadian redfish",2003,41.3554390617035
"acadian redfish",2004,85.9856528396832
"acadian redfish",2005,26.2524456897759
"acadian redfish",2006,59.8956183005735
"acadian redfish",2007,28.5466994845876
"acadian redfish",2008,34.0825649372053
"acadian redfish",2009,36.3086226762663
"acadian redfish",2010,36.4643069207433
"acadian redfish",2011,52.2216957460068
"acadian redfish",2012,35.1439034368692
"acadian redfish",2013,2.2224861570963
"acadian redfish",2014,24.3994127939231
"acadian redfish",2015,29.0214255947444
"acadian redfish",2016,40.6834678825678
"acadian redfish",2017,63.9489259223192
"acadian redfish",2018,9.42514356035003
"acadian redfish",2019,36.7839138098451
"alewife",1970,386.598189787425
"alewife",1971,401.250614321879
"alewife",1972,366.957465102766
"alewife",1973,487.484154849454
"alewife",1974,359.55261633412
"alewife",1975,224.858935932854
"alewife",1976,384.919465952802
"alewife",1977,239.086274667341
"alewife",1978,358.994486699461
"alewife",1979,272.139802173718
"alewife",1980,311.843476756411
"alewife",1981,334.977320564319
"alewife",1982,372.681913386749
"alewife",1983,490.636431414657
"alewife",1984,591.934606907346
"alewife",1985,186.738457937001
"alewife",1986,399.102239109497
"alewife",1987,352.556373243319
"alewife",1988,451.545628745307
"alewife",1989,362.386474995635
"alewife",1990,243.89848871498
"alewife",1991,490.74025136688
"alewife",1992,400.346624921139
"alewife",1993,544.96349904983
"alewife",1994,7.15249281396199
"alewife",1995,282.015418508529
"alewife",1996,222.486700163039
"alewife",1997,317.072202005397
"alewife",1998,171.367686317512
"alewife",1999,377.750629773042
"alewife",2000,130.886023366632
"alewife",2001,230.024270474602
"alewife",2002,260.018559871173
"alewife",2003,247.416027121832
"alewife",2004,292.65156273666
"alewife",2005,452.222444791191
"alewife",2006,201.827429320084
"alewife",2007,263.293057775255
"alewife",2008,214.664941178655
"alewife",2009,211.444095350507
"alewife",2010,97.5878037747184
"alewife",2011,147.640859993137
"alewife",2012,117.672504151104
"alewife",2013,133.204382342026
"alewife",2014,199.366971033748
"alewife",2015,162.36591435856
"alewife",2016,146.586383866258
"alewife",2017,106.962182285621
"alewife",2018,82.6493188665687
"alewife",2019,75.6738481584795
"american plaice",1970,43.6614962272747
"american plaice",1971,43.502763097641
"american plaice",1972,24.8181229183347
"american plaice",1973,27.4246128512616
"american plaice",1974,32.5416964824232
"american plaice",1975,34.3766736509035
"american plaice",1976,40.7300209075959
"american plaice",1977,77.7663599796288
"american plaice",1978,18.5391766402462
"american plaice",1979,38.4607594044314
"american plaice",1980,40.9362712959404
"american plaice",1981,44.9335677084918
"american plaice",1982,68.4189652115866
"american plaice",1983,36.1871197997664
"american plaice",1984,31.2438764178874
"american plaice",1985,27.5380180087412
"american plaice",1986,30.6126670274517
"american plaice",1987,13.2477297739399
"american plaice",1988,38.2251406839857
"american plaice",1989,25.7671247215613
"american plaice",1990,8.51015227418717
"american plaice",1991,4.73173327693221
"american plaice",1992,31.9672591127308
"american plaice",1993,14.3301192692175
"american plaice",1994,17.2380292601383
"american plaice",1995,28.541077790824
"american plaice",1996,63.8133575800677
"american plaice",1997,31.1847953393701
"american plaice",1998,21.6487678553274
"american plaice",1999,13.5913193359732
"american plaice",2000,54.1746085054382
"american plaice",2001,31.5125347502495
"american plaice",2002,69.5488714136011
"american plaice",2003,106.822224592528
"american plaice",2004,56.331598342163
"american plaice",2005,101.121656359533
"american plaice",2006,11.1868240797872
"american plaice",2007,17.9751206881977
"american plaice",2008,16.6615729713685
"american plaice",2009,54.4167355215096
"american plaice",2010,29.4723333123772
"american plaice",2011,33.4369681109413
"american plaice",2012,52.426076490545
"american plaice",2013,58.3354059671356
"american plaice",2014,32.1987664034315
"american plaice",2015,29.8690438669135
"american plaice",2016,31.6856641121951
"american plaice",2017,45.0699945921726
"american plaice",2018,21.8676308744053
"american plaice",2019,11.0093450118921
"atlantic cod",1970,74.4878341652083
"atlantic cod",1971,95.8632836799006
"atlantic cod",1972,101.222539432014
"atlantic cod",1973,68.6889156708057
"atlantic cod",1974,84.3793807667007
"atlantic cod",1975,141.603681186454
"atlantic cod",1976,21.3695474229265
"atlantic cod",1977,36.3084749415506
"atlantic cod",1978,124.151050735248
"atlantic cod",1979,29.2086037797351
"atlantic cod",1980,153.207911724129
"atlantic cod",1981,73.5159498685647
"atlantic cod",1982,283.312384089129
"atlantic cod",1983,90.8254457077752
"atlantic cod",1984,156.267319398095
"atlantic cod",1985,168.840254193427
"atlantic cod",1986,113.457756227477
"atlantic cod",1987,80.8850759655938
"atlantic cod",1988,87.4210699105722
"atlantic cod",1989,57.5144215681986
"atlantic cod",1990,16.5619874381701
"atlantic cod",1991,107.352812389783
"atlantic cod",1992,80.4587924714862
"atlantic cod",1993,96.1827636421574
"atlantic cod",1994,65.4552407373653
"atlantic cod",1995,55.7109969130826
"atlantic cod",1996,22.6698552063934
"atlantic cod",1997,110.88627398729
"atlantic cod",1998,72.6662121320075
"atlantic cod",1999,35.5701781350041
"atlantic cod",2000,135.909115924627
"atlantic cod",2001,41.8912732204752
"atlantic cod",2002,32.530356519656
"atlantic cod",2003,55.6627332994804
"atlantic cod",2004,87.1292205078858
"atlantic cod",2005,51.3569327241887
"atlantic cod",2006,89.8718457261696
"atlantic cod",2007,38.7678796668791
"atlantic cod",2008,19.6365136877773
"atlantic cod",2009,37.4386956603374
"atlantic cod",2010,77.5481260096302
"atlantic cod",2011,32.3005551230247
"atlantic cod",2012,49.0888365535302
"atlantic cod",2013,6.52418108569908
"atlantic cod",2014,45.9089684203023
"atlantic cod",2015,202.694941512274
"atlantic cod",2016,54.1966150136914
"atlantic cod",2017,188.728356689596
"atlantic cod",2018,13.7010762439936
"atlantic cod",2019,19.3214092095782
"atlantic croaker",1970,NA
"atlantic croaker",1971,NA
"atlantic croaker",1972,NA
"atlantic croaker",1973,NA
"atlantic croaker",1974,141.233750931804
"atlantic croaker",1975,NA
"atlantic croaker",1976,NA
"atlantic croaker",1977,NA
"atlantic croaker",1978,NA
"atlantic croaker",1979,429.278926154782
"atlantic croaker",1980,87.3256883407859
"atlantic croaker",1981,NA
"atlantic croaker",1982,NA
"atlantic croaker",1983,NA
"atlantic croaker",1984,NA
"atlantic croaker",1985,NA
"atlantic croaker",1986,NA
"atlantic croaker",1989,NA
"atlantic croaker",1990,NA
"atlantic croaker",1991,NA
"atlantic croaker",1992,NA
"atlantic croaker",1993,NA
"atlantic croaker",1995,NA
"atlantic croaker",1996,NA
"atlantic croaker",1997,NA
"atlantic croaker",1998,NA
"atlantic croaker",1999,53.0351157911814
"atlantic croaker",2000,NA
"atlantic croaker",2001,NA
"atlantic croaker",2002,NA
"atlantic croaker",2003,NA
"atlantic croaker",2005,NA
"atlantic croaker",2006,NA
"atlantic croaker",2007,NA
"atlantic croaker",2008,204.021711127981
"atlantic croaker",2009,NA
"atlantic croaker",2010,NA
"atlantic croaker",2011,NA
"atlantic croaker",2012,NA
"atlantic croaker",2013,383.51496391624
"atlantic croaker",2014,NA
"atlantic croaker",2015,444.999019964692
"atlantic croaker",2016,166.341151419235
"atlantic croaker",2017,NA
"atlantic croaker",2018,159.661346748138
"atlantic croaker",2019,NA
"atlantic herring",1970,352.948940608314
"atlantic herring",1971,392.887531486184
"atlantic herring",1972,259.597790962459
"atlantic herring",1973,120.548535648067
"atlantic herring",1974,285.918124404128
"atlantic herring",1975,222.985307194025
"atlantic herring",1976,211.212338599083
"atlantic herring",1977,130.692658049974
"atlantic herring",1978,166.985971997008
"atlantic herring",1979,376.492537594845
"atlantic herring",1980,288.953337807322
"atlantic herring",1981,186.708527441305
"atlantic herring",1982,145.531770971719
"atlantic herring",1983,36.986317717283
"atlantic herring",1984,67.2682449346126
"atlantic herring",1985,116.125027162674
"atlantic herring",1986,293.844343697152
"atlantic herring",1987,388.503763287907
"atlantic herring",1988,185.672835697695
"atlantic herring",1989,120.104411042906
"atlantic herring",1990,132.125370122832
"atlantic herring",1991,300.680635281988
"atlantic herring",1992,213.925560643968
"atlantic herring",1993,244.147375636374
"atlantic herring",1994,315.533225522631
"atlantic herring",1995,160.749554248545
"atlantic herring",1996,388.411905041467
"atlantic herring",1997,220.364329439908
"atlantic herring",1998,258.367500407936
"atlantic herring",1999,332.714352515343
"atlantic herring",2000,86.7401976098403
"atlantic herring",2001,136.622815855134
"atlantic herring",2002,134.443519801299
"atlantic herring",2003,317.272897961528
"atlantic herring",2004,222.850798914842
"atlantic herring",2005,346.535558582796
"atlantic herring",2006,259.591430453622
"atlantic herring",2007,450.361222191809
"atlantic herring",2008,362.748782822139
"atlantic herring",2009,386.605322630818
"atlantic herring",2010,306.882895578698
"atlantic herring",2011,463.191709771345
"atlantic herring",2012,171.021533342591
"atlantic herring",2013,237.181795229054
"atlantic herring",2014,162.297546959947
"atlantic herring",2015,98.8042200020719
"atlantic herring",2016,190.343227833922
"atlantic herring",2017,68.0447127197335
"atlantic herring",2018,153.912716828853
"atlantic herring",2019,94.1840362731658
"atlantic mackerel",1970,407.503418422284
"atlantic mackerel",1971,294.819229733761
"atlantic mackerel",1972,283.540555255047
"atlantic mackerel",1973,234.908457886205
"atlantic mackerel",1974,519.954947751058
"atlantic mackerel",1975,245.265796522419
"atlantic mackerel",1976,283.562903029094
"atlantic mackerel",1977,269.330934506944
"atlantic mackerel",1978,540.94701865575
"atlantic mackerel",1979,379.620251732508
"atlantic mackerel",1980,453.892193765125
"atlantic mackerel",1981,252.530463706675
"atlantic mackerel",1982,294.681323641875
"atlantic mackerel",1983,378.106981724342
"atlantic mackerel",1984,183.207972999069
"atlantic mackerel",1985,344.950787396465
"atlantic mackerel",1986,507.500068358903
"atlantic mackerel",1987,485.853836749315
"atlantic mackerel",1988,395.705707035163
"atlantic mackerel",1989,611.694179765661
"atlantic mackerel",1990,414.158928123699
"atlantic mackerel",1991,500.745274822114
"atlantic mackerel",1992,558.876353469665
"atlantic mackerel",1993,563.326594575365
"atlantic mackerel",1994,496.963877746491
"atlantic mackerel",1995,412.249024997179
"atlantic mackerel",1996,106.258456082702
"atlantic mackerel",1997,343.302520950039
"atlantic mackerel",1998,309.746423923923
"atlantic mackerel",1999,361.613011019305
"atlantic mackerel",2000,31.5240356453305
"atlantic mackerel",2001,120.940878858574
"atlantic mackerel",2002,365.359577256053
"atlantic mackerel",2003,520.848282718986
"atlantic mackerel",2004,660.679757959801
"atlantic mackerel",2005,526.088023072567
"atlantic mackerel",2006,511.521460559981
"atlantic mackerel",2007,260.393905984407
"atlantic mackerel",2008,484.042355957053
"atlantic mackerel",2009,443.196402632155
"atlantic mackerel",2010,634.721781828813
"atlantic mackerel",2011,712.937486947298
"atlantic mackerel",2012,87.7541452401384
"atlantic mackerel",2013,396.909465990566
"atlantic mackerel",2014,234.073261475161
"atlantic mackerel",2015,55.9409317510872
"atlantic mackerel",2016,190.997081845788
"atlantic mackerel",2017,103.033158875049
"atlantic mackerel",2018,293.019727333139
"atlantic mackerel",2019,91.6607964719056
"atlantic sharpnose shark",1974,NA
"atlantic sharpnose shark",1981,NA
"atlantic sharpnose shark",1983,NA
"atlantic sharpnose shark",1984,NA
"atlantic sharpnose shark",1990,NA
"atlantic sharpnose shark",1991,NA
"atlantic sharpnose shark",1992,NA
"atlantic sharpnose shark",1994,NA
"atlantic sharpnose shark",1995,NA
"atlantic sharpnose shark",1997,NA
"atlantic sharpnose shark",1998,NA
"atlantic sharpnose shark",1999,NA
"atlantic sharpnose shark",2000,NA
"atlantic sharpnose shark",2002,NA
